                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                0.34917,                0.27432,                0.88702,                0.99479,                0.99435,                0.99187,                0.92113,                0.40261,                 0.2481,                0.91516,              0.0001866,              0.0001866,              0.0001866
                    155,                0.35649,                0.28533,                0.89166,                 0.9937,                0.99362,                0.99183,                 0.9247,                0.41294,                0.24959,                0.91827,             0.00018279,             0.00018279,             0.00018279
                    156,                 0.3754,                0.28107,                0.89252,                 0.9961,                0.99444,                0.99183,                0.91845,                0.43637,                 0.2629,                0.92184,             0.00017898,             0.00017898,             0.00017898
                    157,                0.35834,                0.28457,                0.88532,                0.99506,                0.99418,                0.99181,                0.91951,                0.43122,                0.26232,                0.91978,             0.00017518,             0.00017518,             0.00017518
                    158,                0.36278,                0.28317,                0.89868,                0.99588,                0.99283,                0.99181,                0.92098,                0.41396,                0.25809,                0.91147,             0.00017137,             0.00017137,             0.00017137
                    159,                0.33023,                0.26558,                0.86758,                0.99706,                0.99017,                 0.9919,                0.90748,                0.41901,                 0.2629,                0.91307,             0.00016757,             0.00016757,             0.00016757
                    160,                0.34729,                0.25998,                  0.883,                0.99615,                0.99444,                0.99192,                0.91794,                0.42369,                0.26248,                0.91739,             0.00016376,             0.00016376,             0.00016376
                    161,                0.34546,                 0.2657,                0.88987,                 0.9972,                0.99444,                0.99183,                0.90999,                0.44714,                0.26319,                 0.9388,             0.00015995,             0.00015995,             0.00015995
                    162,                 0.3616,                0.27309,                0.88643,                0.99369,                0.99444,                0.99177,                0.91513,                0.42879,                0.25367,                0.92439,             0.00015615,             0.00015615,             0.00015615
                    163,                0.38738,                0.27916,                0.91109,                0.99587,                0.99444,                 0.9918,                0.91371,                0.42275,                0.25336,                0.92337,             0.00015234,             0.00015234,             0.00015234
                    164,                0.33853,                0.26662,                0.87799,                0.99717,                0.99444,                0.99195,                0.90202,                0.44898,                0.26806,                0.94488,             0.00014853,             0.00014853,             0.00014853
                    165,                0.34747,                0.26123,                0.89095,                0.99646,                0.99444,                0.99208,                0.90971,                0.43487,                0.26171,                0.92529,             0.00014473,             0.00014473,             0.00014473
                    166,                0.35874,                0.27267,                0.87723,                0.99396,                0.99444,                0.99206,                0.92491,                0.40271,                0.25325,                0.90259,             0.00014092,             0.00014092,             0.00014092
                    167,                 0.3597,                0.26202,                0.88756,                0.99719,                0.99444,                0.99203,                0.91908,                0.42394,                0.25878,                0.91947,             0.00013711,             0.00013711,             0.00013711
                    168,                0.33711,                0.26631,                0.89011,                0.99251,                0.99338,                  0.992,                0.91331,                0.42843,                0.26367,                0.92442,             0.00013331,             0.00013331,             0.00013331
                    169,                0.34689,                0.26492,                0.88967,                0.99077,                0.99331,                  0.992,                 0.9105,                0.44644,                0.26838,                0.94456,              0.0001295,              0.0001295,              0.0001295
                    170,                0.34962,                0.26671,                0.87672,                0.99039,                0.99174,                0.99195,                0.91582,                0.43132,                0.25969,                0.93685,             0.00012569,             0.00012569,             0.00012569
                    171,                0.35198,                0.27045,                0.88525,                0.98797,                0.99183,                0.99193,                0.91545,                0.43666,                0.25342,                0.94241,             0.00012189,             0.00012189,             0.00012189
                    172,                0.34009,                 0.2694,                 0.8642,                0.99636,                0.99444,                0.99193,                0.91142,                0.45039,                0.25902,                 0.9448,             0.00011808,             0.00011808,             0.00011808
                    173,                0.33328,                0.26217,                0.86645,                0.99706,                0.99444,                0.99194,                0.90811,                0.45598,                0.26199,                0.94483,             0.00011427,             0.00011427,             0.00011427
                    174,                0.34528,                0.25789,                0.87005,                0.99686,                0.99444,                0.99198,                0.91479,                0.44213,                0.26261,                 0.9357,             0.00011047,             0.00011047,             0.00011047
                    175,                0.33071,                0.25143,                0.85657,                0.99671,                0.99444,                0.99202,                0.90806,                0.42955,                 0.2528,                0.93332,             0.00010666,             0.00010666,             0.00010666
                    176,                0.31771,                 0.2463,                0.87066,                0.99662,                0.99444,                0.99205,                0.91609,                0.41201,                0.25071,                0.92538,             0.00010285,             0.00010285,             0.00010285
                    177,                0.33016,                0.25269,                0.87234,                0.99675,                0.99444,                0.99208,                0.91675,                0.41554,                0.25141,                0.92141,             9.9047e-05,             9.9047e-05,             9.9047e-05
                    178,                0.34153,                0.25641,                0.87893,                  0.994,                0.99345,                0.99209,                0.91993,                0.42686,                0.25462,                0.92611,             9.5241e-05,             9.5241e-05,             9.5241e-05
                    179,                0.34208,                0.25878,                0.88152,                0.99717,                0.99444,                0.99209,                0.92168,                0.41505,                0.23266,                0.92436,             9.1434e-05,             9.1434e-05,             9.1434e-05
                    180,                0.35549,                 0.2583,                0.88778,                0.99546,                0.99444,                0.99207,                0.91812,                0.41583,                0.22757,                 0.9296,             8.7628e-05,             8.7628e-05,             8.7628e-05
                    181,                 0.3287,                0.25095,                0.87488,                0.99518,                0.99444,                0.99207,                 0.9168,                0.42506,                 0.2321,                0.92876,             8.3821e-05,             8.3821e-05,             8.3821e-05
                    182,                0.33278,                0.25603,                0.87101,                0.99647,                0.99306,                0.99213,                0.92008,                0.42869,                0.24071,                 0.9364,             8.0014e-05,             8.0014e-05,             8.0014e-05
                    183,                0.32555,                0.24488,                0.86932,                0.99588,                0.99329,                0.99218,                0.92518,                0.42457,                0.23562,                0.93014,             7.6208e-05,             7.6208e-05,             7.6208e-05
                    184,                0.32822,                0.25391,                0.86056,                0.99606,                0.99337,                0.99218,                0.92387,                0.41729,                 0.2332,                0.92978,             7.2401e-05,             7.2401e-05,             7.2401e-05
                    185,                0.32493,                 0.2465,                0.87734,                0.99749,                0.99017,                0.99215,                0.91903,                0.42445,                0.23321,                0.94119,             6.8595e-05,             6.8595e-05,             6.8595e-05
                    186,                0.31231,                0.23657,                0.86165,                0.99492,                0.99326,                0.99208,                0.91823,                0.43033,                0.23847,                 0.9546,             6.4788e-05,             6.4788e-05,             6.4788e-05
                    187,                0.32649,                0.24689,                0.87786,                0.99491,                0.99348,                0.99207,                0.91992,                0.42768,                0.23209,                0.94773,             6.0982e-05,             6.0982e-05,             6.0982e-05
                    188,                0.32135,                0.25103,                0.87887,                0.99459,                0.99339,                0.99206,                0.91743,                0.42261,                 0.2305,                0.94148,             5.7175e-05,             5.7175e-05,             5.7175e-05
                    189,                0.33094,                0.24319,                0.87274,                0.99345,                0.99324,                0.99207,                 0.9221,                0.42265,                0.23235,                0.93792,             5.3369e-05,             5.3369e-05,             5.3369e-05
                    190,                0.32354,                0.25173,                0.86181,                0.99662,                0.98992,                0.99208,                 0.9223,                0.42343,                0.23344,                0.93809,             4.9562e-05,             4.9562e-05,             4.9562e-05
                    191,                0.27911,                0.25015,                0.84456,                0.99574,                0.99444,                0.99195,                0.91935,                0.42755,                0.23507,                0.94195,             4.5756e-05,             4.5756e-05,             4.5756e-05
                    192,                0.27913,                0.22949,                 0.8458,                0.99458,                0.99335,                0.99184,                0.91276,                0.42677,                0.24496,                0.94158,             4.1949e-05,             4.1949e-05,             4.1949e-05
                    193,                0.28024,                 0.2349,                0.86192,                0.99138,                0.99152,                 0.9918,                0.91452,                0.42435,                 0.2478,                0.94068,             3.8142e-05,             3.8142e-05,             3.8142e-05
                    194,                0.26575,                0.23551,                0.84431,                0.99166,                0.99317,                0.99178,                0.92116,                0.42132,                0.24476,                0.93818,             3.4336e-05,             3.4336e-05,             3.4336e-05
                    195,                0.26643,                0.22569,                 0.8537,                 0.9927,                0.99331,                0.99178,                0.92239,                0.42173,                0.24684,                0.93614,             3.0529e-05,             3.0529e-05,             3.0529e-05
                    196,                 0.2678,                0.22905,                0.85987,                0.99375,                0.99338,                0.99178,                 0.9194,                0.41813,                0.24458,                0.93097,             2.6723e-05,             2.6723e-05,             2.6723e-05
                    197,                0.27389,                 0.2174,                0.85428,                0.99513,                0.99338,                0.99178,                0.91763,                0.41738,                0.24022,                0.93023,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    198,                0.27727,                0.22048,                0.84467,                0.99589,                0.99444,                0.99179,                0.92266,                0.41498,                 0.2393,                0.92796,              1.911e-05,              1.911e-05,              1.911e-05
                    199,                0.26963,                 0.2176,                0.85395,                0.99269,                0.99354,                0.99179,                0.92131,                  0.415,                 0.2388,                  0.928,             1.5303e-05,             1.5303e-05,             1.5303e-05
                    200,                 0.2415,                0.21124,                0.83319,                0.99111,                0.99444,                 0.9918,                0.92206,                0.41452,                0.23614,                0.92868,             1.1497e-05,             1.1497e-05,             1.1497e-05
