                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.46281,                0.51898,                0.90021,                0.99497,                0.99444,                0.99174,                0.88446,                0.44828,                0.41642,                0.89399,             0.00063577,             0.00063577,             0.00063577
                     37,                0.48599,                0.50957,                0.92555,                0.98627,                0.98567,                0.99176,                0.90004,                0.44792,                0.42554,                0.89031,             0.00063196,             0.00063196,             0.00063196
                     38,                 0.4708,                0.51026,                0.92384,                0.97631,                0.99277,                0.99237,                0.88652,                0.46737,                0.40459,                0.90301,             0.00062816,             0.00062816,             0.00062816
                     39,                0.48418,                0.52565,                0.92637,                0.99176,                0.97546,                0.98617,                0.89057,                0.45514,                0.44691,                0.89016,             0.00062435,             0.00062435,             0.00062435
                     40,                0.46423,                0.54653,                0.92312,                0.92412,                0.99444,                0.98197,                0.88216,                0.44826,                0.46453,                0.89407,             0.00062054,             0.00062054,             0.00062054
                     41,                0.46302,                0.53842,                0.92587,                0.99364,                0.99237,                0.99177,                0.87858,                0.43801,                0.40644,                 0.8911,             0.00061674,             0.00061674,             0.00061674
                     42,                0.45246,                0.50331,                0.90479,                0.99149,                0.99041,                0.99173,                0.88154,                0.46229,                0.41563,                0.88854,             0.00061293,             0.00061293,             0.00061293
                     43,                0.48449,                0.51156,                0.92376,                0.99233,                0.99444,                0.99172,                0.87488,                0.45351,                0.39457,                0.88495,             0.00060912,             0.00060912,             0.00060912
                     44,                0.46967,                0.48503,                0.92449,                0.99071,                0.99444,                0.99174,                0.90252,                 0.4518,                 0.4331,                0.90006,             0.00060532,             0.00060532,             0.00060532
                     45,                0.47248,                0.52255,                0.91215,                0.98645,                0.99444,                0.99176,                0.87429,                0.43994,                0.41464,                0.88136,             0.00060151,             0.00060151,             0.00060151
                     46,                0.43898,                0.47599,                0.89627,                0.99231,                0.99444,                0.99189,                0.89659,                0.44235,                0.38842,                0.89168,             0.00059771,             0.00059771,             0.00059771
                     47,                 0.4383,                0.48753,                0.90498,                0.97717,                0.99444,                0.99173,                0.87156,                0.47851,                0.40246,                0.91114,              0.0005939,              0.0005939,              0.0005939
                     48,                0.44681,                0.48411,                0.91286,                0.97173,                0.99444,                0.99173,                0.87422,                0.43858,                0.42876,                0.89177,             0.00059009,             0.00059009,             0.00059009
                     49,                0.44941,                0.47192,                0.92158,                0.99493,                0.99444,                0.99178,                0.89766,                0.41584,                0.39659,                0.88176,             0.00058629,             0.00058629,             0.00058629
                     50,                0.43974,                0.46655,                0.90244,                0.97958,                0.99444,                0.99175,                0.89322,                 0.4106,                0.40037,                0.88384,             0.00058248,             0.00058248,             0.00058248
                     51,                 0.4619,                0.46455,                0.92359,                0.99574,                0.99092,                0.99174,                0.90572,                0.40556,                0.38942,                0.88363,             0.00057867,             0.00057867,             0.00057867
                     52,                0.45273,                0.45423,                0.91844,                0.97621,                0.99211,                0.99175,                 0.9031,                0.42791,                0.37127,                 0.8918,             0.00057487,             0.00057487,             0.00057487
                     53,                 0.4197,                0.42488,                0.89435,                0.99183,                0.99444,                0.99177,                0.91117,                0.42952,                0.37749,                0.88985,             0.00057106,             0.00057106,             0.00057106
                     54,                0.44066,                0.44074,                0.90729,                0.99013,                0.99118,                0.99177,                 0.8862,                0.44399,                0.36925,                0.89571,             0.00056725,             0.00056725,             0.00056725
